search algorithm,Actions,Expansions
breadth_first_search,20,43
depth_first_graph_search,20,21
uniform_cost_search,20,60
greedy_h_unmet_goals,20,7
greedy_h_pg_levelsum,20,6
greedy_h_pg_maxlevel,20,6
greedy_h_pg_setlevel,20,6
astar_h_unmet_goals,20,50
astar_h_pg_levelsum,20,28
astar_h_pg_maxlevel,20,43
astar_h_pg_setlevel,20,33
breadth_first_search,72,3343
depth_first_graph_search,72,624
uniform_cost_search,72,5154
greedy_h_unmet_goals,72,17
greedy_h_pg_levelsum,72,9
greedy_h_pg_maxlevel,72,27
greedy_h_pg_setlevel,72,9
astar_h_unmet_goals,72,2467
astar_h_pg_levelsum,72,357
astar_h_pg_maxlevel,72,2887
astar_h_pg_setlevel,72,1037
breadth_first_search,88,14663
depth_first_graph_search,88,408
uniform_cost_search,88,18510
greedy_h_unmet_goals,88,25
greedy_h_pg_levelsum,88,14
greedy_h_pg_maxlevel,88,21
greedy_h_pg_setlevel,88,35
astar_h_unmet_goals,88,7388
astar_h_pg_levelsum,88,369
astar_h_pg_maxlevel,88,9580
astar_h_pg_setlevel,88,3423
breadth_first_search,104,99736
depth_first_graph_search,104,25174
uniform_cost_search,104,113339
greedy_h_unmet_goals,104,29
greedy_h_pg_levelsum,104,17
greedy_h_pg_maxlevel,104,56
greedy_h_pg_setlevel,104,107
astar_h_unmet_goals,104,34330
astar_h_pg_levelsum,104,1208
astar_h_pg_maxlevel,104,62077
astar_h_pg_setlevel,104,22606
