search algorithm,Actions,Time
breadth_first_search,20,0.023811796
depth_first_graph_search,20,0.009618925
uniform_cost_search,20,0.017927114
greedy_h_unmet_goals,20,0.001633515
greedy_h_pg_levelsum,20,0.730893023
greedy_h_pg_maxlevel,20,0.117956296
greedy_h_pg_setlevel,20,0.882086453
astar_h_unmet_goals,20,0.011246378
astar_h_pg_levelsum,20,0.534907814
astar_h_pg_maxlevel,20,0.261162691
astar_h_pg_setlevel,20,1.3706316
breadth_first_search,72,0.337785426
depth_first_graph_search,72,0.496396211
uniform_cost_search,72,0.571888791
greedy_h_unmet_goals,72,0.009136501
greedy_h_pg_levelsum,72,3.692731617
greedy_h_pg_maxlevel,72,2.649279092
greedy_h_pg_setlevel,72,11.851160706
astar_h_unmet_goals,72,0.673549578
astar_h_pg_levelsum,72,106.94428423
astar_h_pg_maxlevel,72,250.266466691
astar_h_pg_setlevel,72,890.48271614
breadth_first_search,88,0.947339138
depth_first_graph_search,88,0.257007012
uniform_cost_search,88,1.413229058
greedy_h_unmet_goals,88,0.020584356
greedy_h_pg_levelsum,88,11.83760229
greedy_h_pg_maxlevel,88,3.709348562
greedy_h_pg_setlevel,88,57.184571421
astar_h_unmet_goals,88,1.376859467
astar_h_pg_levelsum,88,156.706902662
astar_h_pg_maxlevel,88,1259.335336112
astar_h_pg_setlevel,88,4236.97163035
breadth_first_search,104,6.001156547
depth_first_graph_search,104,1112.628073653
uniform_cost_search,104,11.360931355
greedy_h_unmet_goals,104,0.044849814
greedy_h_pg_levelsum,104,14.502743878
greedy_h_pg_maxlevel,104,10.10761648
greedy_h_pg_setlevel,104,232.459051012
astar_h_unmet_goals,104,4.113155945
astar_h_pg_levelsum,104,776.447068099
astar_h_pg_maxlevel,104,11914.101749542
astar_h_pg_setlevel,104,39854.096882385
